ticket_id,received_at,marca,canal,customer_id,mensagem
55,2026-04-03T10:14:00,BeFly Travel,whatsapp,458,"Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear. Aguardo retorno, obrigado!"
56,2026-04-22T12:10:00,Instaviagem,email,103,Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail.
57,2026-04-08T01:57:00,Belvitur,email,127,"BeFly Conecta funciona com integração SAP Concur? Pergunto pra trazer pra nossa companhia. Já mandei essa mensagem 2 vezes, ninguém respondeu."
58,2026-06-09T11:12:00,Instaviagem,whatsapp,287,BeFly Conecta funciona com integração SAP Concur? Pergunto pra trazer pra nossa companhia.
59,2026-01-25T23:08:00,BeFly Travel,whatsapp,162,Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear.
60,2026-03-19T23:26:00,BeFly,telefone,402,Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail.
61,2026-01-29T02:47:00,Instaviagem,email,188,Comprei seguro viagem mas perdi o número da apólice. Pode me reenviar? Email cadastrado: maria.silva@empresa.com.br
62,2026-03-27T03:34:00,BeFly,instagram_dm,204,"Pacote família p/ Disney em outubro, 5 pessoas (eu, esposa, 3 crianças de 5, 8 e 14 anos). Queria hotel da Disney mesmo. Quanto fica? Saída de BH. Por favor responder no whatsapp 11 9XXXX-XXXX."
63,2026-01-30T09:27:00,Flytour,presencial,207,Vocês ainda mantêm parceria com a Smiles? Quero usar pontos pra Madrid. Por favor responder no whatsapp 11 9XXXX-XXXX.
64,2026-03-06T22:04:00,BeFly Travel,telefone,10,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico?"
65,2026-03-22T04:23:00,Flytour,whatsapp,265,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico?"
66,2026-01-21T13:02:00,Queensberry,telefone,498,"Quem é o gerente de conta da Acme Corp? Preciso falar com ele urgente sobre os SLAs do contrato. Aguardo retorno, obrigado!"
67,2026-01-08T04:57:00,Vai Voando,whatsapp,387,"Vocês operam viagens corporativas com NDC da Latam? Estamos avaliando trocar de TMC. Estou muito chateado, espero solução."
68,2026-06-04T15:54:00,Vai Voando,chat_site,133,"Oi! Sou viajante Diamond, 12 anos de casa. Tô bem incomodada porque na minha última viagem fiquei mais de 6h num aeroporto e ninguém me ofereceu lounge nem reacomodação. Espero solução à altura do meu tier."
69,2026-04-14T20:58:00,BeFly Travel,whatsapp,143,"Bom dia, sou produtora de evento corporativo. Preciso de tarifa especial pra grupo de 20 jornalistas indo cobrir Olimpíadas LA 2028. Já mandei essa mensagem 2 vezes, ninguém respondeu."
70,2026-02-03T09:02:00,BeFly Travel,whatsapp,481,"Olá, vocês têm pacote para Bariloche em julho? Lua de mel, 2 adultos. Orçamento até 18 mil reais total. Saindo de São Paulo."
71,2026-05-26T22:22:00,BeFly,email,114,"Bom dia, gostaria de remarcar a minha passagem do dia 15/07 para o dia 22/07, mesmo voo se possível. Localizador BF89X12."
72,2026-03-24T14:34:00,BeFly,presencial,214,"Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail. Aguardo retorno, obrigado!"
73,2026-01-08T20:46:00,BeFly Conecta,whatsapp,57,"Olá! Queria fazer uma viagem solo pra Chile pra esquiar em julho, primeira vez fora do Brasil. Tô meio perdido, vocês ajudam com seguro, hospedagem, transfer? Budget ~12k."
74,2026-02-06T17:32:00,Instaviagem,email,272,"Boa tarde, peço orçamento de Réveillon em Búzios, 4 noites, casal, hotel de praia 4 estrelas, com transfer. Total ideal até 8k. Por favor responder no whatsapp 11 9XXXX-XXXX."
75,2026-04-02T00:55:00,Flytour,whatsapp,412,"Tem voucher de R$ 500 que vocês me deram em jul/2025 que ainda não usei. Validade era 12 meses, expira semana que vem. Posso usar pra qualquer destino? Cliente desde 2019, espero atendimento à altura."
76,2026-01-07T17:26:00,BeFly,telefone,283,"Bom dia, gostaria de remarcar a minha passagem do dia 15/07 para o dia 22/07, mesmo voo se possível. Localizador BF89X12."
77,2026-02-14T17:23:00,Instaviagem,whatsapp,420,Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear.
78,2026-04-01T02:41:00,BeFly Conecta,chat_site,497,"Tô em Tóquio, perdi o passaporte. O seguro de vocês ajuda?"
79,2026-02-11T18:59:00,BeFly Travel,chat_site,362,"Sou da imprensa, gostaria de uma entrevista com o CEO sobre os planos da BeFly após a aquisição da Queensberry. Por favor responder no whatsapp 11 9XXXX-XXXX."
80,2026-03-15T16:09:00,Queensberry,presencial,429,"Quero comprar pacote Cancun all inclusive saindo de POA, sou Diamond. Que tarifa eu tenho disponível?"
81,2026-03-20T09:56:00,BeFly,whatsapp,431,"Oi! Sou viajante Diamond, 12 anos de casa. Tô bem incomodada porque na minha última viagem fiquei mais de 6h num aeroporto e ninguém me ofereceu lounge nem reacomodação. Espero solução à altura do meu tier. Estou muito chateado, espero solução."
82,2026-05-03T01:38:00,Instaviagem,email,355,Tô vendo no site valores diferentes pra mesmo voo dependendo do horário. Tem alguma forma de garantir o melhor preço?
83,2026-01-29T16:16:00,BeFly,whatsapp,187,"Vocês têm pacote feito pra advogados (curso de pós em Boston, agosto)? Preciso de hospedagem perto de Harvard. Por favor responder no whatsapp 11 9XXXX-XXXX."
84,2026-04-10T14:12:00,BeFly Travel,whatsapp,452,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico?"
85,2026-01-01T04:40:00,BeFly Travel,whatsapp,143,Reclamação: o atendimento de vocês no WhatsApp é PÉSSIMO. Mandei mensagem 4 vezes ontem e ninguém respondeu. Cliente Gold desde 2018. Por favor responder no whatsapp 11 9XXXX-XXXX.
86,2026-02-15T04:18:00,BeFly Conecta,whatsapp,136,"Sou da imprensa, gostaria de uma entrevista com o CEO sobre os planos da BeFly após a aquisição da Queensberry."
87,2026-01-08T14:02:00,BeFly Travel,whatsapp,323,"Quero cancelar a viagem que comprei semana passada pra Salvador. Mudaram o feriado da empresa. Preciso de reembolso integral, é dentro do prazo de 7 dias. Já mandei essa mensagem 2 vezes, ninguém respondeu."
88,2026-06-05T07:53:00,Belvitur,telefone,367,"Estou tentando emitir uma nota fiscal do meu pacote pra Maceió mas o sistema dá erro. Localizador BF44ZZ1. Empresa: Tech Ltda CNPJ 12.345.678/0001-99. Já mandei essa mensagem 2 vezes, ninguém respondeu."
89,2026-05-12T04:41:00,Queensberry,whatsapp,371,"Oi! Quero programa pra solteiros em julho, algum destino bom pra conhecer gente nova. 28 anos, profissional. Budget ~10k. Estou muito chateado, espero solução."
90,2026-01-08T23:18:00,Belvitur,telefone,263,Quem é o gerente de conta da Acme Corp? Preciso falar com ele urgente sobre os SLAs do contrato.
91,2026-05-08T14:56:00,Belvitur,whatsapp,269,Tem mais detalhes do pacote 'Caminhos além do imaginável' de vocês? Vi no Instagram.
92,2026-06-01T23:53:00,Belvitur,whatsapp,352,"Tem voucher de R$ 500 que vocês me deram em jul/2025 que ainda não usei. Validade era 12 meses, expira semana que vem. Posso usar pra qualquer destino?"
93,2026-05-10T11:13:00,Flytour,telefone,118,Vocês têm seguro viagem que cobre esportes radicais? Vou pra NZ fazer bungee jump.
94,2026-04-26T23:37:00,BeFly Travel,whatsapp,428,"Quero cancelar a viagem que comprei semana passada pra Salvador. Mudaram o feriado da empresa. Preciso de reembolso integral, é dentro do prazo de 7 dias. Por favor responder no whatsapp 11 9XXXX-XXXX."
95,2026-04-25T06:45:00,BeFly,email,126,Promo de Black Friday pra Disney funciona pra viagem em 2027 ou só esse ano?
96,2026-05-26T05:11:00,BeFly,instagram_dm,460,"Vocês ainda mantêm parceria com a Smiles? Quero usar pontos pra Madrid. Cliente desde 2019, espero atendimento à altura."
97,2026-01-13T00:34:00,Flytour,email,415,"Quero comprar miles pra completar resgate. Como faço? Já mandei essa mensagem 2 vezes, ninguém respondeu."
98,2026-02-12T17:47:00,Flytour,whatsapp,379,Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail.
99,2026-03-31T22:05:00,Belvitur,whatsapp,467,"Tô em Tóquio, perdi o passaporte. O seguro de vocês ajuda?"
100,2026-04-23T07:36:00,BeFly Conecta,whatsapp,308,"Pacote pra esquiar nos Andes Argentinos, fim de agosto, 2 adultos + 1 criança 10 anos. Saída de Floripa preferencialmente. Aguardo retorno, obrigado!"
101,2026-04-24T01:50:00,BeFly Conecta,whatsapp,32,"Pacote família p/ Disney em outubro, 5 pessoas (eu, esposa, 3 crianças de 5, 8 e 14 anos). Queria hotel da Disney mesmo. Quanto fica? Saída de BH. Estou muito chateado, espero solução."
102,2026-05-07T00:12:00,BeFly,email,363,"Vocês ainda mantêm parceria com a Smiles? Quero usar pontos pra Madrid. Aguardo retorno, obrigado!"
103,2026-03-26T21:28:00,Belvitur,presencial,282,"Voo BF2200 atrasou 4 horas ontem (GRU→REC), perdi conexão pra Fernando de Noronha. Companhia paga reacomodação? Cliente desde 2019, espero atendimento à altura."
104,2026-03-28T02:19:00,BeFly,email,420,"Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear. Aguardo retorno, obrigado!"
105,2026-03-23T19:40:00,Queensberry,whatsapp,470,"Sou da imprensa, gostaria de uma entrevista com o CEO sobre os planos da BeFly após a aquisição da Queensberry."
106,2026-01-26T19:16:00,Flytour,whatsapp,185,"Tem promoção pra Europa pra setembro? Queria conhecer Itália + Grécia. 2 adultos. Flexível em datas, max ~25k. Aguardo retorno, obrigado!"
107,2026-04-25T23:48:00,BeFly Conecta,chat_site,361,"Oi! Sou viajante Diamond, 12 anos de casa. Tô bem incomodada porque na minha última viagem fiquei mais de 6h num aeroporto e ninguém me ofereceu lounge nem reacomodação. Espero solução à altura do meu tier."
108,2026-03-13T17:45:00,BeFly,whatsapp,252,"Posso parcelar minha viagem em 12x sem juros se eu fechar hoje? Cliente desde 2019, espero atendimento à altura."
109,2026-02-24T23:14:00,Flytour,email,193,"Pacote pra esquiar nos Andes Argentinos, fim de agosto, 2 adultos + 1 criança 10 anos. Saída de Floripa preferencialmente."
110,2026-01-01T07:36:00,BeFly Travel,whatsapp,204,"Cliente da agência Vai Voando aqui, preciso de uma cotação para 30 colaboradores irem pra uma convenção em Foz em novembro. Inclui transfer, hotel 4 estrelas, e jantar de gala. Posso mandar a planilha? Estou muito chateado, espero solução."
111,2026-02-05T15:12:00,Flytour,chat_site,149,Comprei seguro viagem mas perdi o número da apólice. Pode me reenviar? Email cadastrado: maria.silva@empresa.com.br
112,2026-03-13T00:38:00,Queensberry,email,185,"URGENTE: passageiro nosso (CEO) está retido em Lisboa, voo de retorno cancelado por greve. Precisamos de remarcação imediata para BR-GRU hoje. Custo não é problema. Booking BF11X44. Cliente desde 2019, espero atendimento à altura."
113,2026-06-05T12:17:00,BeFly,whatsapp,428,Cancelaram nosso voo de volta de Maceió. Estamos com 2 crianças pequenas e mais R$ 0 no cartão. O que vocês fazem?
114,2026-02-15T09:18:00,Instaviagem,email,162,"Quero migrar minha conta de Silver pra Gold, quantos voos faltam? Por favor responder no whatsapp 11 9XXXX-XXXX."
115,2026-05-23T22:20:00,Instaviagem,chat_site,416,Minha bagagem sumiu no voo BF7700 ontem. Cheguei em Recife e a mala não veio. Já fui no balcão e abri o RIR mas precisava de ajuda pra rastrear.
116,2026-06-16T06:48:00,Vai Voando,email,105,"Tem voucher de R$ 500 que vocês me deram em jul/2025 que ainda não usei. Validade era 12 meses, expira semana que vem. Posso usar pra qualquer destino?"
117,2026-03-24T01:50:00,BeFly Conecta,whatsapp,446,"Quero comprar pacote Cancun all inclusive saindo de POA, sou Diamond. Que tarifa eu tenho disponível? Cliente desde 2019, espero atendimento à altura."
118,2026-06-16T00:10:00,Vai Voando,whatsapp,242,"Vocês têm pacote feito pra advogados (curso de pós em Boston, agosto)? Preciso de hospedagem perto de Harvard."
119,2026-02-16T13:21:00,Flytour,presencial,134,"Minha esposa precisa de cadeira de rodas no aeroporto. Como solicitamos? Voo BF4499 GRU→FOR, próxima sexta. Estou muito chateado, espero solução."
120,2026-02-24T18:22:00,BeFly Travel,telefone,62,"Bom dia, sou produtora de evento corporativo. Preciso de tarifa especial pra grupo de 20 jornalistas indo cobrir Olimpíadas LA 2028."
121,2026-01-14T16:25:00,BeFly,chat_site,255,"Boa tarde, peço orçamento de Réveillon em Búzios, 4 noites, casal, hotel de praia 4 estrelas, com transfer. Total ideal até 8k."
122,2026-05-19T05:12:00,BeFly Travel,whatsapp,99,"Bom dia! Sou da agência Instaviagem, parceira de vocês. Cliente meu pediu Punta del Este Carnaval, 4 noites, 2 adultos. Faz um orçamento por favor? Estou muito chateado, espero solução."
123,2026-04-12T04:39:00,BeFly,whatsapp,133,"Olá. Sou cliente da Belvitur Corporate. Posso usar meus pontos pra pagar parte de uma viagem de lazer? Estou muito chateado, espero solução."
124,2026-05-17T11:18:00,Vai Voando,whatsapp,382,"Reclamação séria: o hotel que vocês reservaram pra mim em Gramado estava em obras, não dormi a noite toda. Quero compensação. Aguardo retorno, obrigado!"
125,2026-03-03T13:37:00,Belvitur,email,295,"Voo BF2200 atrasou 4 horas ontem (GRU→REC), perdi conexão pra Fernando de Noronha. Companhia paga reacomodação? Estou muito chateado, espero solução."
126,2026-04-07T08:13:00,BeFly Conecta,chat_site,111,"Posso parcelar minha viagem em 12x sem juros se eu fechar hoje? Já mandei essa mensagem 2 vezes, ninguém respondeu."
127,2026-03-12T00:10:00,BeFly Travel,email,489,"Quero cancelar a viagem que comprei semana passada pra Salvador. Mudaram o feriado da empresa. Preciso de reembolso integral, é dentro do prazo de 7 dias. Por favor responder no whatsapp 11 9XXXX-XXXX."
128,2026-06-08T21:43:00,Instaviagem,whatsapp,218,Reclamação: o atendimento de vocês no WhatsApp é PÉSSIMO. Mandei mensagem 4 vezes ontem e ninguém respondeu. Cliente Gold desde 2018.
129,2026-05-27T09:49:00,BeFly Travel,email,1,Voo BF5500 hoje cedo: o piloto fez pouso de emergência em Brasília. Estamos sentados há 3h no aeroporto sem informação. Por favor avisem nossas famílias e nos digam o que fazer.
130,2026-06-05T17:34:00,BeFly Travel,email,401,"Bom dia. Preciso de um relatório consolidado dos gastos com viagens corporativas da nossa empresa (Tech XYZ) do último trimestre. Pode ser por e-mail. Já mandei essa mensagem 2 vezes, ninguém respondeu."
131,2026-04-06T02:15:00,Instaviagem,whatsapp,423,Vocês operam viagens corporativas com NDC da Latam? Estamos avaliando trocar de TMC. Por favor responder no whatsapp 11 9XXXX-XXXX.
132,2026-06-04T02:27:00,Belvitur,email,283,"Quero comprar pacote Cancun all inclusive saindo de POA, sou Diamond. Que tarifa eu tenho disponível?"
133,2026-02-12T08:08:00,BeFly Conecta,whatsapp,367,Posso usar pontos da Gol pra pagar pacote BeFly? Por favor responder no whatsapp 11 9XXXX-XXXX.
134,2026-04-25T01:06:00,BeFly,email,358,Reclamação: o atendimento de vocês no WhatsApp é PÉSSIMO. Mandei mensagem 4 vezes ontem e ninguém respondeu. Cliente Gold desde 2018.
135,2026-02-24T16:14:00,BeFly Conecta,email,199,"Tem voucher de R$ 500 que vocês me deram em jul/2025 que ainda não usei. Validade era 12 meses, expira semana que vem. Posso usar pra qualquer destino? Aguardo retorno, obrigado!"
136,2026-01-01T05:01:00,BeFly,whatsapp,236,"URGENTE: passageiro nosso (CEO) está retido em Lisboa, voo de retorno cancelado por greve. Precisamos de remarcação imediata para BR-GRU hoje. Custo não é problema. Booking BF11X44. Já mandei essa mensagem 2 vezes, ninguém respondeu."
137,2026-04-28T08:11:00,Belvitur,whatsapp,270,"Olá! Queria fazer uma viagem solo pra Chile pra esquiar em julho, primeira vez fora do Brasil. Tô meio perdido, vocês ajudam com seguro, hospedagem, transfer? Budget ~12k."
138,2026-01-06T07:55:00,Instaviagem,telefone,158,Olá. Sou cliente da Belvitur Corporate. Posso usar meus pontos pra pagar parte de uma viagem de lazer?
139,2026-06-11T01:57:00,Flytour,email,132,"Olá, vocês têm pacote para Bariloche em julho? Lua de mel, 2 adultos. Orçamento até 18 mil reais total. Saindo de São Paulo. Cliente desde 2019, espero atendimento à altura."
140,2026-06-18T10:05:00,BeFly Travel,email,357,Estou tentando emitir uma nota fiscal do meu pacote pra Maceió mas o sistema dá erro. Localizador BF44ZZ1. Empresa: Tech Ltda CNPJ 12.345.678/0001-99.
141,2026-03-07T22:59:00,Flytour,whatsapp,409,"Oi, comprei seguro viagem pra Europa e estou doente em Roma. Como aciono o atendimento médico?"
142,2026-04-02T21:50:00,BeFly,email,103,"Vocês têm pacote feito pra advogados (curso de pós em Boston, agosto)? Preciso de hospedagem perto de Harvard."
143,2026-02-05T07:18:00,BeFly,whatsapp,390,Reclamação: o atendimento de vocês no WhatsApp é PÉSSIMO. Mandei mensagem 4 vezes ontem e ninguém respondeu. Cliente Gold desde 2018.
144,2026-04-01T06:01:00,BeFly Conecta,chat_site,249,"Vocês têm pacote feito pra advogados (curso de pós em Boston, agosto)? Preciso de hospedagem perto de Harvard. Já mandei essa mensagem 2 vezes, ninguém respondeu."
145,2026-01-11T06:29:00,Instaviagem,whatsapp,202,"Minha esposa precisa de cadeira de rodas no aeroporto. Como solicitamos? Voo BF4499 GRU→FOR, próxima sexta."
